"nombreGen","nombreProteina","nombreProceso"
"APOE","Proteína APOE","Clearance de Beta-Amiloide"
"APOE","Proteína APOE","Transporte de Lípidos"
"APP","Proteína APP","Formación de Placas Beta-Amiloide"
"APP","Proteína APP","Muerte Neuronal"
"MAPT","Proteína Tau","Estabilización de Microtúbulos"
"MAPT","Proteína Tau","Agregación de Proteína Tau"
"PSEN1","Proteína PSEN1","Actividad Gamma-Secretasa"
"PSEN1","Proteína PSEN1","Formación de Placas Beta-Amiloide"
"PSEN2","Proteína PSEN2","Actividad Gamma-Secretasa"
